implementation,threads,time
serial,1,0.019571
serial,1,0.019625
serial,1,0.020588
serial,1,0.019436
serial,1,0.019312
serial,2,0.019560
serial,2,0.020366
serial,2,0.019433
serial,2,0.020184
serial,2,0.019792
serial,4,0.020451
serial,4,0.021458
serial,4,0.021155
serial,4,0.020234
serial,4,0.019851
serial,8,0.020454
serial,8,0.021083
serial,8,0.019701
serial,8,0.023067
serial,8,0.021687
mutex,1,0.021513
mutex,1,0.020477
mutex,1,0.020481
mutex,1,0.020022
mutex,1,0.021106
mutex,2,0.039553
mutex,2,0.048455
mutex,2,0.042354
mutex,2,0.044376
mutex,2,0.035317
mutex,4,0.045266
mutex,4,0.047394
mutex,4,0.048310
mutex,4,0.044526
mutex,4,0.049368
mutex,8,0.052492
mutex,8,0.052900
mutex,8,0.050254
mutex,8,0.052890
mutex,8,0.046376
rwlock,1,0.021282
rwlock,1,0.021118
rwlock,1,0.019970
rwlock,1,0.021484
rwlock,1,0.021414
rwlock,2,0.081454
rwlock,2,0.071666
rwlock,2,0.084921
rwlock,2,0.076778
rwlock,2,0.091353
rwlock,4,0.083294
rwlock,4,0.105630
rwlock,4,0.089403
rwlock,4,0.100123
rwlock,4,0.083897
rwlock,8,0.079734
rwlock,8,0.089300
rwlock,8,0.080985
rwlock,8,0.081726
rwlock,8,0.107738
